cartodb_id,the_geom,time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
1034,0101000020E6100000B1E1E995B2E85DC0014D840D4FEF4440,2015-10-14 03:11:07.875+00,41.8696,-119.6359,9,1.6,ml,4,207.73,0.145,0.063,nn,nn00514775,2015-10-16 15:11:46.905+00,"68km ESE of Lakeview, Oregon",earthquake
1035,0101000020E61000008B6CE7FBA9C95BC08915246C2E644640,2015-10-14 03:10:38.03+00,44.7826667,-111.151,13.93,2.07,ml,21,84,0.034,0.18,uu,uu60126297,2015-10-14 17:08:47.76+00,"13km NNW of West Yellowstone, Montana",earthquake
1036,0101000020E6100000AD31433EC3665EC0F727A72CF9F54740,2015-10-14 03:10:09.44+00,47.9216667,-121.6056667,5.628,0.74,md,3,234,0.1612,0.1,uw,uw60114708,2015-10-14 21:54:32.38+00,"9km NE of Gold Bar, Washington",earthquake
1037,0101000020E6100000D263004DA9645EC0CB75093D51F74740,2015-10-14 03:07:05.54+00,47.9321667,-121.5728333,3.928,2.86,ml,27,55,0.1842,0.19,uw,uw61077957,2015-10-16 03:00:19.863+00,"12km NE of Gold Bar, Washington",earthquake
1038,0101000020E6100000832F4CA60A6A62C04160E5D022C34F40,2015-10-14 03:04:14+00,63.5245,-147.3138,0,1.4,ml,,,,0.54,ak,ak11739063,2015-10-14 04:07:29.921+00,"82km E of Cantwell, Alaska",earthquake
1039,0101000020E610000005560E2DB27D5EC03307F7B990E44240,2015-10-14 03:03:17.25+00,37.7856667,-121.964,7.72,0.84,md,10,102,0.07649,0.04,nc,nc72536350,2015-10-16 06:34:45.46+00,"1km ENE of San Ramon, California",earthquake
1040,0101000020E6100000DE9387855AAF5DC0FA7E6ABC74334340,2015-10-14 02:58:31.094+00,38.402,-118.7399,12.7,0.3,ml,4,267.71,0.238,0.118,nn,nn00514763,2015-10-16 15:11:40.787+00,"16km SW of Hawthorne, Nevada",earthquake
1041,0101000020E6100000EEEBC039230A6040713D0AD7A370FD3F,2015-10-14 02:47:08.09+00,1.84,128.3168,90.9,5,mb,,108,1.424,0.92,us,us10003nhu,2015-10-14 10:49:44.67+00,"36km ENE of Tobelo, Indonesia",earthquake
1042,0101000020E610000000917EFB3ADA62C0C117265305CB4F40,2015-10-14 02:38:21+00,63.5861,-150.8197,7.1,2.7,ml,,,,0.81,ak,ak11739040,2015-10-14 08:35:15.626+00,"95km WNW of Cantwell, Alaska",earthquake
1043,0101000020E6100000BC5296218EAD5DC03E7958A835354340,2015-10-14 02:34:12.751+00,38.4157,-118.7118,4.1,1,ml,9,104.18,0.06,0.0992,nn,nn00514579,2015-10-16 15:10:42.568+00,"14km SSW of Hawthorne, Nevada",earthquake
1044,0101000020E610000075A9B640A77D5EC08915246C2EE44240,2015-10-14 02:23:23.56+00,37.7826667,-121.9633333,7.38,0.83,md,16,57,0.07951,0.05,nc,nc72536345,2015-10-17 00:39:20.08+00,"1km ENE of San Ramon, California",earthquake
